Name,Url,Description,Chains,Twitter,TVL,Chain TVLs,Category
Lif3 Swap,https://lif3.com/swap,AMM DEX on Tombchain,"['Tombchain', 'Binance', 'Polygon']",Official_LIF3,676649.8361401454,"{'Binance': 85747.61823634476, 'Tombchain': 517573.31485676696, 'Tombchain-staking': 14161.43187738014, 'Polygon': 73328.90304703372, 'staking': 14161.43187738014}",Dexes
Hydradex V3,https://hydradex.org/#/swap,Hydra DEX is the native decentralized exchange of Hydra chain,['Hydra'],hydra_chain,669866.4709721337,{'Hydra': 669866.4709721337},Dexes
Sphynx,https://linktr.ee/sphynxlabs,"An AIO(All-In-One) solution for trading, farming, staking and holding","['Bitgert', 'Loop', 'Binance', 'Cronos']",SphynxLabs,669384.5621883699,"{'Binance': 25616.711435842448, 'Cronos': 7915.170999778077, 'Loop': 171609.79162369738, 'Bitgert': 464242.888129052}",Dexes
SocialSwap,https://www.socialswap.io,Socialswap is a decentralized exchange on tron blockchain,['Tron'],Socialswapdefi,669379.7227420348,{'Tron': 669379.7227420348},Dexes
Saros,https://saros.finance,"Saros Finance is the ultimate DeFi platform native to Solana, with trading, staking, and yield farming services. Built by Coin98 Labs, Saros Finance aims to adopt millions of users to DeFi.",['Solana'],Saros_Finance,667826.8633187102,{'Solana': 667826.8633187102},Dexes
Alita Finance,https://app.alita.finance,A DEX that is connecting Centralized and Decentralized Trading Platforms Worldwide.,['Binance'],AlitaFinance,666503.1129795322,"{'Binance': 666503.1129795322, 'Binance-staking': 374866.52749539533, 'staking': 374866.52749539533}",Dexes
Crodex,https://swap.crodex.app,"Crodex is a decentralized exchange (DEX), providing liquidity and enabling peer-to-peer transactions on Cronos.",['Cronos'],crodexapp,665627.3880638664,{'Cronos': 665627.3880638664},Dexes
BurgerSwap,https://burgerswap.org/trade/swap,"BurgerSwap is the first cross-chain aggregator combining rates and prices from the leading DEXs and CEXs; By combining the switch protocol, BurgerSwap, has integrated CEXs, DEXs, and DeFi deals into a single platform",['Binance'],burger_swap,665089.8870135255,"{'Binance': 665089.8870135255, 'Binance-staking': 31190.779974744702, 'staking': 31190.779974744702}",Dexes
Pippi,https://app.pippi.finance,"Pippi Finance is a decentralized exchange running on Huobi ECO Chain, with lots of features that let you earn and win tokens. It is fast, cheap and easily accessible as it is not difficult to use.",['Heco'],pippishrimpswap,662610.529493591,{'Heco': 662610.529493591},Dexes
Plenty,https://www.plenty.network,"Plenty is a decentralized exchange on Tezos that offers a seamless trading experience. Users can trade, earn, govern and build on the platform. Plenty features both stable and volatile liquidity pools, enables near-zero slippage trades and easy bridging from Ethereum and Polygon.",['Tezos'],plenty_network,644583.4761236159,{'Tezos': 644583.4761236159},Dexes
WagyuSwap,https://www.wagyuswap.app,"WagyuSwap is the leading decentralized exchange on the Velas Chain, which has been clocked as the fastest blockchain in the world.",['Velas'],WagyuSwap_app,641339.1605924662,{'Velas': 641339.1605924662},Dexes
Clober,https://clober.io,Clober is a fully decentralized on-chain order book DEX infrastructure based on its unique algorithm LOBSTER.,"['Polygon zkEVM', 'Polygon', 'Arbitrum', 'Ethereum']",CloberDEX,623936.0954922857,"{'Ethereum': 21.361110024770007, 'Polygon zkEVM': 607874.6778427036, 'Polygon': 12621.207005180273, 'Arbitrum': 3418.849534376959}",Dexes
Tethys AMM,https://tethys.finance,"We believe that in the future, L2 solutions will help Ethereum with scaling. Our mission is to empower the Metis Andromeda network with a fast, secure, reliable, and advanced native decentralized exchange app to handle all kinds of trading needs.",['Metis'],tethysfinance,619215.1090620036,"{'Metis': 619215.1090620036, 'Metis-staking': 8065.02766711517, 'staking': 8065.02766711517}",Dexes
Spartan,https://spartanprotocol.org,"Spartan Protocol is an AMM built on top of Binance Smart Chain utilizing liquidity sensitive fees. Focusing on incentivised liquidity pools and Synths, Spartan Protocol allows users to earn revenue by providing liquidity to pools and forging + staking Synthetic Assets.",['Binance'],SpartanProtocol,618593.3264499959,{'Binance': 618593.3264499959},Dexes
Aequinox,https://www.aequinox.exchange/#/pools,Aequinox Dex is a community-driven decentralized exchange that supports multi-token and weighted pools on the Binance Smart Chain.,['Binance'],Aequinox_Dex,617201.6422158409,{'Binance': 617201.6422158409},Dexes
Arbitrum Exchange V3,https://arbidex.fi,Uniswap V3 fork on Arbitrum.,['Arbitrum'],arbidex_fi,610962.278531719,{'Arbitrum': 610962.278531719},Dexes
Brine.fi,https://www.brine.fi,"The decentralized order-book exchange for traders crafted by traders. Gasless, Instant, Multi-Chain, Secure, Trustless. Powered by @StarkWareLtd",['Ethereum'],BrineFinance,603889.3096524695,{'Ethereum': 603889.3096524695},Dexes
Ocean One,https://ocean.one,"Ocean ONE is a decentralized exchange built on Mixin Network, it's almost the first time that a decentralized exchange gain the same user experience as a centralized one.",['Mixin'],Mixin_OceanOne,602668.06,{'Mixin': 602668.06},Dexes
BXH,https://bxh.com,BXH (Bitcoin Dex on HECO) is an innovative Dex trading platform developed based on HECO Chain.,"['Heco', 'OKExChain', 'Binance', 'Ethereum', 'Avalanche']",BXH_Blockchain,598348.4441887551,"{'Binance': 52277.656102733, 'Ethereum': 17982.94321972278, 'OKExChain': 71564.90870692018, 'Heco': 453253.7341956948, 'Avalanche': 3269.2019636843725}",Dexes
DogeSwapOrg,https://dogeswap.org/#/swap,A clone of Uniswap V2 on Dogechain,['Dogechain'],DogeSwapOrg,596195.6207672014,{'Dogechain': 596195.6207672014},Dexes
Puzzle Swap,https://puzzleswap.org/,DEX 2.0 built on Waves to support mega pools and bring a new light to DeFi experience,['Waves'],puzzle_swap,594352.5967178374,{'Waves': 594352.5967178374},Dexes
Vexchange,https://vexchange.io/swap,A protocol for trading and automated liquidity provision on VeChain,['VeChain'],VexchangeIO,593977.2037283975,{'VeChain': 593977.2037283975},Dexes
OolongSwap,https://oolongswap.com/#/,"As the liquidity hub of Boba Network, OolongSwap is a DEX that is...well, not satisfied with being just an ordinary, everyday DEX. We don't want to be just another AMM, we want the best of both worlds: safe, smooth while also being fun, revolutionary, and most importantly, irreplaceable!",['Boba'],oolongswap,592032.4246062664,{'Boba': 592032.4246062664},Dexes
Forthewin Network,https://www.forthewin.network,All-in-one solution for crypto startups,['NEO'],N3_FTW_NETWORK,587302.676706001,{'NEO': 587302.676706001},Dexes
Sonic,https://sonic.ooo,"Swap tokens, earn fees as a liquidity provider, and build on the Internet Computer's Automated Market Maker (AMM)",['ICP'],sonic_ooo,583161.5667377578,{'ICP': 583161.5667377578},Dexes
Levinswap,https://levinswap.org/,AMM DEX on xDai powered by the LightningDAO,['xDai'],levinswap,569845.0289160996,"{'xDai': 569845.0289160996, 'staking': 0, 'xDai-staking': 0}",Dexes
Polycat Dex,https://polycat.finance/swap,Polycat is a decentralized hybrid yield optimizer (yield farm and yield aggregator) running on the Polygon blockchain (formerly known as MATIC). The Paw token is the second token in their ecosystem that they introduced with the launch of their AMM.,['Polygon'],PolycatFinance,557950.5533251849,"{'Polygon': 557950.5533251849, 'Polygon-staking': 3172.764911751501, 'staking': 3172.764911751501}",Dexes
Step Exchange,https://app.step.exchange,Dex on Step Network ,['Step'],StepApp_,550509.0589244541,{'Step': 550509.0589244541},Dexes
PegaSys V3,https://rollux.pegasys.finance/,Uniswap V3 fork on Rollux Chain,['Rollux'],PegasysDEX,547035.671417532,{'Rollux': 547035.671417532},Dexes
JulSwap,https://julswap.com/#/swap,AMM on BSC chain,['Binance'],JulSwap,544115.4222254411,{'Binance': 544115.4222254411},Dexes
Humble Defi,https://www.humble.sh,"Humble Defi is your one stop shop Defi suite. Our first product, Humble Swap is an AMM style exchange that allows you to swap, pool and earn on your assets.",['Algorand'],HumbleDefi,542930.8624800591,{'Algorand': 542930.8624800591},Dexes
Cometh,https://www.cometh.io/,DeFi powered space game with yield generating NFT ,['Polygon'],MUSTCometh,540932.6716352779,{'Polygon': 540932.6716352779},Dexes
Ruby.Exchange Stable,https://ruby.exchange/stableSwap,AMM on Europa chain,['Europa'],ruby_exchange,539921.078969174,{'Europa': 539921.078969174},Dexes
Globiance,https://dex.globiance.com,"GlobianceDEX is the first decentralized exchange built on the leading XDC (XinFin) blockchain. Developed as an Automated-market-maker (AMM) on XDC, its goal is to become a launchpad for all XRC20 tokens, facilitate instant swaps within XDC & across different chains.",['XDC'],globiance,537252.4250753552,{'XDC': 537252.4250753552},Dexes
Purple Bridge DEX,https://purplebridge.link,"The Only Bridge Connecting Bora and Polygon network, support miniDEX in order to expand user functionalities and opportunities.",['Polygon'],purplelabs_,527199.586132,{'Polygon': 527199.586132},Dexes
Baso Finance,https://www.baso.finance,"First fully community-owned and decentralized ve(3,3) dex on base.",['Base'],Baso_Finance,521474.30076071963,{'Base': 521474.30076071963},Dexes
ShadowSwap,https://shadowswap.xyz,"ShadowSwap is a Decentralized exchange based on automated market makers (AMM), Which has become the standard and the most convenient way to exchange crypto tokens.",['CORE'],Shadowswap_xyz,521385.52342046745,{'CORE': 521385.52342046745},Dexes
KSwap Finance,https://kswap.finance,KSwap Finance is a decentralized trading platform deployed on OKExChain.,['OKExChain'],kswap_finance,517719.752794444,{'OKExChain': 517719.752794444},Dexes
Swop,https://swop.fi,Swop Fi is a service featuring functionality for instant exchange of cryptocurrencies and investing assets in order to receive passive income.,['Waves'],Swopfi,516648.62609181,{'Waves': 516648.62609181},Dexes
Zenlink AMM,https://zenlink.pro,Zenlink is a cross-chain DEX protocol based on Polkadot.,"['Astar', 'Moonriver', 'Moonbeam']",ZenlinkPro,516643.7098641217,"{'Astar': 249438.3849070283, 'Moonriver': 142394.2943863212, 'Moonbeam': 124811.0305707722}",Dexes
JSwap,https://app.jswap.finance/#/swap,Jswap Finance is the community-driven multi-chain compatible Dex and assets management protocol.,['OKExChain'],Jswap_Finance,516439.77643214347,{'OKExChain': 516439.77643214347},Dexes
Blueshift,https://blueshift.fi/,Blueshift is a decentralized exchange and a new-generation crypto asset management protocol based on liquidity portfolios with high capital efficiency and low impermanent loss.,"['Milkomeda', 'Milkomeda A1', 'Polygon', 'Kava']",blueshiftfi,495930.12128514884,"{'Kava': 2845.7641106832866, 'Kava-staking': 241.43446095948732, 'Milkomeda': 469904.7917193742, 'Milkomeda A1-staking': 1298.0746754599481, 'Milkomeda-staking': 397925.8873270662, 'Polygon': 5875.785207795118, 'Polygon-staking': 0, 'Milkomeda A1': 17303.780247296272, 'staking': 399465.39646348567}",Dexes
CronaSwap,https://app.cronaswap.org,CronaSwap is a decentralized exchange platform for swapping ERC-20 tokens on the Cronos Chain network.,['Cronos'],cronaswap,491243.4292794718,"{'Cronos': 491243.4292794718, 'Cronos-staking': 37511.32145441307, 'staking': 37511.32145441307}",Dexes
Convergence,https://conv.finance,Convergence Finance is a cross-chain AMM and launchpad that aims to make private markets public while enabling cross-chain compatibility to maximize liquidity across different chains so users can interact with private-sale token projects and transact beyond the ERC20 standard.,"['Ethereum', 'Moonbeam']",ConvergenceFin,489070.34242914635,"{'Ethereum': 461412.88128749735, 'Moonbeam': 27657.461141648993}",Dexes
Pulsar Swap,https://pulsarswap.com,Swap and Long Term Invest Crypto on TWAMM Protocol,"['Ethereum', 'Arbitrum', 'Mantle']",PulsarSwap,487119.87406364677,"{'Ethereum': 344496.5521628629, 'Mantle': 0.3270299775695409, 'Arbitrum': 142622.9948708063}",Dexes
JustMoney,https://about.just.money,An ecosystem for the next generation of decentralized applications to power Web3 and DeFi.,"['Tron', 'Binance', 'Bittorrent', 'Polygon', 'Ethereum']",JustMoneyIO,486877.3127335486,"{'Binance': 54569.14581274051, 'Bittorrent': 47520.91586760225, 'Ethereum': 10760.048800499664, 'Polygon': 36634.44518013076, 'Tron': 337392.7570725754}",Dexes
Baryon Network,https://www.baryon.network,"Baryon Network is a BNB Chain-based Premier Suite of DeFi Products containing three fundamental building blocks: BaryonSwap (AMM), BaryonFarm, and BaryonStake.",['Binance'],BaryonNetwork,485564.26530723256,{'Binance': 485564.26530723256},Dexes
Intercroneswap,http://www.intercroneswap.com,Join our funny meme community start on Tron and on the way to multichain metaverse.,"['Tron', 'Bittorrent', 'Binance']",IntercroneWorld,485189.0132080413,"{'Binance': 78584.78658181963, 'Bittorrent': 133646.87524747665, 'Tron': 272957.35137874505}",Dexes
Coinswap Space,https://www.coinswap.space,CoinSwap is a DEX with a suite of products available in Decentralized Finance.,['Binance'],CoinSwap_Space,478291.9021590258,{'Binance': 478291.9021590258},Dexes
Dove Swap V3,https://swap.dovish.finance,"DoveSwap, the first native DEX on Polygon's zkEVM, enables faster and more cost-effective transactions. The DEX uses concentrated liquidity pools to improve capital efficiency, and reduce impermanent loss. ",['Polygon zkEVM'],DovishFi,476818.7633588702,{'Polygon zkEVM': 476818.7633588702},Dexes
MM Finance Arbitrum,https://arbimm.finance,The lowest fee dex on Arbitrum and first to incorporate NFT into its DeFI ecosystem seamlessly.,['Arbitrum'],MMFcrypto,475780.45210790023,"{'Arbitrum-staking': 0, 'Arbitrum': 475780.45210790023, 'staking': 0}",Dexes
Daytona Finance,https://www.daytona.finance,Uniswap V2 fork on Pulse Chain,['Pulse'],DaytonaFinance,469936.0481623651,"{'Pulse-pool2': 114171.94223375991, 'Pulse-staking': 76052.100494663, 'pool2': 114171.94223375991, 'Pulse': 469936.0481623651, 'staking': 76052.100494663}",Dexes
Arbswap StableSwap,https://arbswap.io/swap,Stableswap AMM,"['Arbitrum', 'Arbitrum Nova']",ArbswapOfficial,469104.66337905393,"{'Arbitrum Nova': 114408.0631708898, 'Arbitrum': 354696.60020816413}",Dexes
HiveSwap,https://swap.hiveswap.io,Uniswap fork on map blockchain,['Map'],,464905.2590733489,{'Map': 464905.2590733489},Dexes
Aldrin,https://aldrin.com,Aldrin’s mission is to simplify DeFi and create powerful tools for all traders to succeed.,['Solana'],Aldrin_Exchange,460068.77333139797,"{'Solana-staking': 251757.4049657751, 'Solana': 460068.77333139797, 'staking': 251757.4049657751}",Dexes
3xcalibur,https://3xcalibur.com,"The 3xcalibur Protocol is a permissionless, liquidationless, oracleless liquidity marketplace, powered by Tri-AMM architecture to facilitate stableswaps, variable swaps and borrowing/lending.",['Arbitrum'],3xcalibur69,454606.8373268444,{'Arbitrum': 454606.8373268444},Dexes
Blue Planet,https://app.planet.finance/,"Green Planet is an incentivized, non-custodial lending protocol for earning interest on deposits and borrowing assets.",['Binance'],planet_finance,453476.53428957576,{'Binance': 453476.53428957576},Dexes
OreoSwap,https://oreoswap.finance/,OreoSwap is a DeFi platform that provides both AMM and integrated NFT Farming on Arbitrum blockchain network,['Arbitrum'],oreoswap,453238.4476722571,"{'Arbitrum-staking': 43003.49343583074, 'Arbitrum': 453238.4476722571, 'staking': 43003.49343583074}",Dexes
DefiPlaza,https://defiplaza.net/,DefiPlaza is the low-cost distributed exchange on Ethereum,['Ethereum'],DefiPlaza,452809.1795006298,{'Ethereum': 452809.1795006298},Dexes
